Open,Close,High,Low,Volume,Date
17.49375,16.895,17.51625,16.5725,,03/09/20
17.005,17.005,17.005,17.005,,03/08/20
17.4275,17.34625,17.57125,17.08625,,03/06/20
17.205,17.42275,17.465,17.15875,,03/05/20
17.25125,17.215,17.32875,17.095,,03/04/20
16.79125,16.005,17.46125,16.005,,03/03/20
16.4925,16.0075,17.04625,16.005,,03/02/20
16.005,16.005,16.005,16.005,,03/01/20
17.73375,16.205,17.865,16.205,,02/28/20
17.91875,17.605,18.13125,17.605,,02/27/20
18.01,17.755,18.21,17.755,,02/26/20
18.64125,17.99525,18.64375,17.89375,,02/25/20
18.6475,18.6325,18.95,18.54625,,02/24/20
18.37125,18.4875,18.63,18.36375,,02/21/20
18.42375,18.37225,18.445,18.23,,02/20/20
18.1725,18.4325,18.46375,18.15875,,02/19/20
17.805,18.17375,18.23625,17.8025,,02/18/20
17.7075,17.615,17.88875,17.615,,02/17/20
17.64875,17.7475,17.81125,17.63,,02/14/20
17.4875,17.645,17.73625,17.47375,,02/13/20
17.64625,17.305,17.66375,17.305,,02/12/20
17.775,17.64675,17.81125,17.57625,,02/11/20
17.68875,17.9225,17.9225,17.68875,,02/10/20
17.81875,17.7075,17.86125,17.64,,02/07/20
17.6075,17.9225,17.9225,17.6075,,02/06/20
17.61125,17.62,17.72625,17.49,,02/05/20
17.6975,17.595,17.78375,17.535,,02/04/20
18.075,17.68625,18.10375,17.60375,,02/03/20
17.855,18.03875,18.09375,17.79625,,01/31/20
17.54375,17.8375,18.04125,17.54375,,01/30/20
17.5175,17.5575,17.59125,17.38875,,01/29/20
18.08375,17.355,18.12,17.355,,01/28/20
18.27125,18.10425,18.33875,18.04875,,01/27/20
17.80375,18.12,18.1475,17.75125,,01/24/20
17.84,17.4925,17.91375,17.4925,,01/23/20
17.795,17.4925,17.9275,17.4925,,01/22/20
18.07375,17.525,18.15125,17.525,,01/21/20
18.04375,18.0675,18.12875,18.00125,,01/20/20
16.0075,16.0075,16.0075,16.0075,,01/19/20
17.9475,18.0375,18.17125,17.91125,,01/17/20
17.99125,17.94225,18.04875,17.875,,01/16/20
17.80375,18.005,18.0375,17.75,,01/15/20
17.96,17.79925,17.965,17.68375,,01/14/20
18.075,17.9575,18.09125,17.93,,01/13/20
17.91875,18.105,18.15375,17.85125,,01/10/20
18.09625,17.905,18.205,17.81,,01/09/20
18.425,18.10425,18.8025,18.05875,,01/08/20
18.15125,18.4075,18.44,17.96375,,01/07/20
18.2475,17.96,18.48875,17.96,,01/06/20
18.005,18.005,18.005,18.005,,01/05/20
18.015,18.005,18.26625,18,,01/03/20
17.91,18.0275,18.0975,17.79125,,01/02/20
17.92375,17.855,18.145,17.825,,12/31/19
17.78375,17.605,17.9625,17.605,,12/30/19
17.76425,17.76425,17.76425,17.76425,,12/29/19
17.90375,17.76425,17.96875,17.74875,,12/27/19
17.76375,17.905,18.05,17.74125,,12/26/19
17.44375,17.775,17.785,17.38,,12/24/19
17.18875,17.615,17.615,17.18625,,12/23/19
17.20625,17.20625,17.20625,17.20625,,12/22/19
17.06625,17.20625,17.25625,17.0325,,12/20/19
17.015,17.06475,17.1275,16.90625,,12/19/19
17.01,17.0175,17.07,16.89,,12/18/19
17.03375,17.015,17.11,16.97125,,12/17/19
16.9475,17.04125,17.0875,16.9075,,12/16/19
16.945,16.945,16.945,16.945,,12/15/19
16.92125,16.945,17.02625,16.85,,12/13/19
16.8725,16.93275,17.115,16.78375,,12/12/19
16.66875,16.8575,16.9625,16.60375,,12/11/19
16.61,16.8775,16.8775,16.58,,12/10/19
16.5525,16.6025,16.6825,16.53,,12/09/19
16.57525,16.57525,16.57525,16.57525,,12/08/19
16.57525,16.57525,16.57525,16.57525,,12/07/19
16.96125,16.57525,16.9925,16.54375,,12/06/19
16.8625,16.9675,17.01625,16.82375,,12/05/19
17.15875,16.8525,17.29625,16.805,,12/04/19
16.905,17.18,17.205,16.87625,,12/03/19
16.975,16.905,16.99,16.8275,,12/02/19
17.0175,17.0175,17.0175,17.0175,,12/01/19
16.9425,17.0175,17.04875,16.86125,,11/29/19
16.9775,16.875,17.01375,16.875,,11/28/19
17.0875,16.9725,17.09625,16.9375,,11/27/19
16.89125,17.0825,17.115,16.82875,,11/26/19
16.95,16.615,16.9925,16.615,,11/25/19
16.9975,16.9975,16.9975,16.9975,,11/24/19
17.10125,16.9975,17.23625,16.99125,,11/22/19
17.18625,17.375,17.375,17.0475,,11/21/19
17.165,17.14725,17.20875,17.0375,,11/20/19
17.035,17.1525,17.1825,16.975,,11/19/19
16.975,17.04,17.06,16.75875,,11/18/19
16.97025,16.97025,16.97025,16.97025,,11/17/19
17.03125,16.97025,17.0325,16.83875,,11/15/19
16.97875,17.0225,17.10375,16.895,,11/14/19
16.7975,16.615,17.02875,16.615,,11/13/19
16.84,16.615,16.9,16.615,,11/12/19
16.815,16.615,16.93875,16.615,,11/11/19
16.79775,16.79775,16.79775,16.79775,,11/10/19
17.12,16.79775,17.12375,16.7075,,11/08/19
17.60875,17.1175,17.6625,17.005,,11/07/19
17.5725,17.6375,17.6475,17.39375,,11/06/19
18.0675,17.58175,18.09125,17.54875,,11/05/19
18.1175,18.05725,18.22,17.9775,,11/04/19
18.145,18.145,18.145,18.145,,11/03/19
18.105,18.145,18.14875,17.96,,11/01/19
17.86625,18.095,18.1675,17.8025,,10/31/19
17.805,17.86625,17.9625,17.595,,10/30/19
17.84125,17.80125,17.89625,17.61375,,10/29/19
18.02,17.84125,18.14,17.795,,10/28/19
18.04025,18.01875,18.05075,18.005,,10/27/19
17.80875,18.04025,18.32875,17.795,,10/25/19
17.55125,17.81,17.84125,17.49,,10/24/19
17.54125,17.03,17.62,17.03,,10/23/19
17.575,17.525,17.66875,17.435,,10/22/19
17.57125,17.555,17.8725,17.51375,,10/21/19
17.5475,17.5475,17.5475,17.5475,,10/20/19
17.56125,17.5475,17.595,17.4125,,10/18/19
17.41,17.5475,17.64125,17.31625,,10/17/19
17.43125,17.395,17.47125,17.17,,10/16/19
17.64875,17.4175,17.73,17.3575,,10/15/19
17.5325,17.65775,17.6975,17.4375,,10/14/19
17.5625,17.5625,17.5625,17.5625,,10/13/19
17.5225,17.5625,17.75625,17.35875,,10/11/19
17.74375,17.5075,17.8975,17.425,,10/10/19
17.765,17.7375,17.94625,17.6725,,10/09/19
17.44625,17.73325,17.8075,17.29125,,10/08/19
17.60625,17.435,17.61875,17.39375,,10/07/19
17.545,17.545,17.545,17.545,,10/06/19
17.58625,17.545,17.655,17.3075,,10/04/19
17.57,17.57,17.785,17.47625,,10/03/19
17.26875,17.5525,17.6725,17.195,,10/02/19
17.005,17.23,17.325,16.90125,,10/01/19
17.54875,16.905,17.60375,16.905,,09/30/19
17.265,17.265,17.265,17.265,,09/29/19
17.83625,17.265,17.895,17.265,,09/27/19
17.91,17.82625,18.04875,17.76125,,09/26/19
18.65125,17.805,18.68625,17.805,,09/25/19
18.65375,18.6075,18.73125,18.265,,09/24/19
17.96375,18.6475,18.70375,17.95875,,09/23/19
17.9925,17.9925,17.9925,17.9925,,09/22/19
17.80375,17.9925,17.9925,17.76375,,09/20/19
17.73125,17.7925,17.9325,17.61875,,09/19/19
18.01875,17.7475,18.04125,17.5425,,09/18/19
17.84375,18.01625,18.09,17.7575,,09/17/19
17.73875,17.85125,17.9875,17.69125,,09/16/19
18.07375,17.355,18.19,17.355,,09/13/19
18.10625,18.095,18.47,18.01625,,09/12/19
18.03625,17.795,18.24125,17.795,,09/11/19
18.0125,18,18.18,17.78875,,09/10/19
18.0675,17.955,18.30125,17.95375,,09/09/19
18.185,18.185,18.185,18.185,,09/08/19
18.6675,18.185,18.79,17.99125,,09/06/19
19.52625,18.66125,19.575,18.5775,,09/05/19
19.2525,19.59875,19.6475,19.2075,,09/04/19
18.445,19.2675,19.29125,18.34625,,09/03/19
18.43875,18.485,18.55,18.27875,,09/02/19
18.3775,18.3775,18.3775,18.3775,,09/01/19
18.25625,18.3775,18.47625,18.07125,,08/30/19
18.34,18.27125,18.64875,18.065,,08/29/19
18.1825,18.355,18.49875,18.0775,,08/28/19
17.65875,18.19375,18.21125,17.63875,,08/27/19
17.65625,17.66625,17.77125,17.53625,,08/26/19
17.44,17.44,17.44,17.44,,08/25/19
17.05375,17.44,17.4825,16.985,,08/23/19
17.135,17.0475,17.1525,16.94875,,08/22/19
17.14375,17.12125,17.19875,17,,08/21/19
16.89875,17.165,17.19125,16.86375,,08/20/19
17.11125,17.1275,17.135,16.86,,08/19/19
17.105,17.105,17.105,17.105,,08/18/19
17.26625,17.105,17.33375,17.055,,08/16/19
17.24,17.2675,17.385,17.12,,08/15/19
16.9825,17.215,17.31875,16.88125,,08/14/19
